  case                         disk  opendir  into_tree  wall_ms
  A01-sibling                   403      809        802     6387
  A02-in-src                    403     1210       1203     6614
  A03-deep                      406     1219       1203     6362
  A04-dotcache                  403      809        802     6246
  A05-vendor                    403      408        408     6317
  A06-target                    403      809        809     6374
  A07-build                     403      809        809     6235
  A08-coverage                  403      408        408     6222
  A09-next                      403      809        802     6242
  A10-pycache                   403      809        802     6236
  B01-nm-sibling                403        7          0     6269
  B02-nm-in-src                 403        7          0     6224
  B03-nm-deep                   405       13          0     6310
  B04-nm-nested                 406        7          0     6346
  C01-include-nm                403      408        401     7271
  C02-include-nm-only           403      407        401     6631
  C03-include-venv              403     1210       1203     6410
  C04-include-star              403     1211       1203     6550
  C05-include-nm-root           403        4          0     6259
  C06-no-exclude-at-all         403      809        802     6267
  C07-empty-exclude             403      809        802     6209
  C08-exclude-src               403      808        802     6273
  D01-pkg-plain                 403      809        802     6312
  D02-pkg-glob                  403      809        802     6230
  D03-pkg-slash                 403      809        802     6283
  D04-pkg-starstar              403      809        802     6219
  D05-pkg-abs                   403      809        802     6292
  D06-root-plain                403      408        401     6297
  D07-root-glob                 403      408        401     6204
  D08-root-starstar             403      409        402     6207
  D09-root-bare                 403      809        802     6214
  E01-no-pkg-tsconfig           403      808        802     6188
  E02-files-list                403      808        802     6218
  E03-no-composite              403      809        802     6231
  E04-no-references             403      809        802     6196
  E05-noise-at-root             403      809        802     6241
  E06-noise-root-nm             403        7          0     6323
  F01-packages                  403      809        802     6299
  F02-packages                  405      814        802     6393
  F05-packages                  411      829        802     6668
  F10-packages                  421      854        802     6358
  F25-packages                  451      929        802     6233
  F50-packages                  501     1054        802     6296
  G01-packages-nm               403        7          0     6371
  G10-packages-nm               421       52          0     6258
  G50-packages-nm               501      252          0     6307
